Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
December 09, 2024 - 07:30:45
Django version 4.2.11, using settings 'config.settings'
Starting development server at http://0.0.0.0:8080/
Quit the server with CONTROL-C.

[09/Dec/2024 07:30:45] "OPTIONS /home/main/?type=IRIS_20_1 HTTP/1.1" 200 0
[09/Dec/2024 07:30:46] "OPTIONS /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 0
[09/Dec/2024 07:30:58] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:31:07] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:31:43] "OPTIONS /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 0
[09/Dec/2024 07:31:43] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:32:52] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:32:55] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:32:58] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:33:35] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:34:01] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:34:18] "OPTIONS /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 0
[09/Dec/2024 07:35:23] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:36:53] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:37:11] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:37:33] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:37:45] "GET /home/main/?type=IRIS_20_1 HTTP/1.1" 200 247
[09/Dec/2024 07:38:42] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:39:19] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:39:30] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:41:59] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:47:35] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:47:38] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:48:05] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:48:16] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:48:23] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:49:50] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:49:58] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:01] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:03] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
Not Found: /example.com:443
[09/Dec/2024 07:50:42] "CONNECT example.com:443 HTTP/1.1" 404 1795
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:47] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:48] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:49] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:49] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:49] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
[09/Dec/2024 07:50:49] "GET /rcms/openPage?type=RCMS_8 HTTP/1.1" 200 1570
